Date,Juilin Date,Month,Day,Year,row,Week,AM Feed,AM Transparency,PM Feed,PM Transparency,Stocked,Spring Temp (F),Max Spring (F),Min Spring (F),Daily turbi mean,Max daily turbi,Max air temp,Min air temp,Dec Rain,Calmar Rain,Year class,Strain,Lot,Sub Lot,Raceway,# fish,Morts,Sub Lot % morts,Lot % mort,Strain % mort,Comments
2/22/2022,44614,2,22,2022,418,9,N,17.87,N,15.64,,43.9,44.1,43.9,18.4,30.5,30,17,0.05,0.03,2021,Arlee,ARA2,ARA2B3&A7B3,B3,9685,,0.0%,0.0%,0.0%,
2/22/2022,44614,2,22,2022,418,9,N,17.87,N,15.64,,43.9,44.1,43.9,18.4,30.5,30,17,0.05,0.03,2021,Shasta,STA3,STA3B4,B4,9250,,0.0%,0.0%,0.0%,
2/22/2022,44614,2,22,2022,418,9,N,17.87,N,15.64,,43.9,44.1,43.9,18.4,30.5,30,17,0.05,0.03,2021,Shasta,STA4,STA4B5,B5,10309,,0.0%,0.0%,0.0%,
2/22/2022,44614,2,22,2022,418,9,N,17.87,N,15.64,,43.9,44.1,43.9,18.4,30.5,30,17,0.05,0.03,2021,Shasta,STB6,STB6,B6,7994,,0.0%,0.0%,0.0%,
2/22/2022,44614,2,22,2022,418,9,N,17.87,N,15.64,,43.9,44.1,43.9,18.4,30.5,30,17,0.05,0.03,2021,Shasta,STA6,STA6&A3B7,B7,8410,,0.0%,0.0%,0.0%,
2/22/2022,44614,2,22,2022,418,9,N,17.87,N,15.64,,43.9,44.1,43.9,18.4,30.5,30,17,0.05,0.03,2021,Arlee,ARA7,ARA7B8,B8,9120,,0.0%,0.0%,0.0%,
2/22/2022,44614,2,22,2022,418,9,N,17.87,N,15.64,,43.9,44.1,43.9,18.4,30.5,30,17,0.05,0.03,2021,Irwin X Arlee,IAC2,IAC2C2C2C2,C2,8238,,0.0%,0.0%,0.0%,
2/22/2022,44614,2,22,2022,418,9,N,17.87,N,15.64,,43.9,44.1,43.9,18.4,30.5,30,17,0.05,0.03,2021,Arlee,ARA2,ARA2&A7C3,C3,9156,,0.0%,0.0%,0.0%,
2/22/2022,44614,2,22,2022,418,9,N,17.87,N,15.64,,43.9,44.1,43.9,18.4,30.5,30,17,0.05,0.03,2021,Irwin X Arlee,IAC4,IAC4C4C4,C4,10266,,0.0%,0.0%,0.0%,
2/22/2022,44614,2,22,2022,418,9,N,17.87,N,15.64,,43.9,44.1,43.9,18.4,30.5,30,17,0.05,0.03,2021,Irwin X Arlee,IAC4,IAC4C4C5,C5,10608,,0.0%,0.0%,0.0%,
2/22/2022,44614,2,22,2022,418,9,N,17.87,N,15.64,,43.9,44.1,43.9,18.4,30.5,30,17,0.05,0.03,2021,Mix,Mix,ARC8&B6C8,C8,5883,,0.0%,0.0%,0.0%,
2/22/2022,44614,2,22,2022,418,9,N,17.87,N,15.64,,43.9,44.1,43.9,18.4,30.5,30,17,0.05,0.03,VAR,VAR,Broods,BroodsP2P1,P1,220,1,0.5%,0.5%,0.5%,
3/18/2019,43542,3,18,2019,77,12,N,20.4,N,16.4,X,44.1,,,,,42,21,0,0,2018,Ennis,ENA1,ENA1,A1,9304,0,0.0%,0.0%,0.0%,
3/18/2019,43542,3,18,2019,77,12,N,20.4,N,16.4,X,44.1,,,,,42,21,0,0,2018,Hot Creek,HCA2,HCA2,A2,10196,2,0.0%,0.0%,0.0%,
3/18/2019,43542,3,18,2019,77,12,N,20.4,N,16.4,X,44.1,,,,,42,21,0,0,2018,Shasta,STA3,STA3,A3,8885,0,0.0%,0.0%,0.0%,
3/18/2019,43542,3,18,2019,77,12,N,20.4,N,16.4,X,44.1,,,,,42,21,0,0,2018,Hot Creek,HCA4,HCA4,A4,9576,0,0.0%,0.0%,0.0%,
3/18/2019,43542,3,18,2019,77,12,N,20.4,N,16.4,X,44.1,,,,,42,21,0,0,2018,Eagle Lake,ELA5,ELA5,A5,8103,0,0.0%,0.0%,0.0%,
3/18/2019,43542,3,18,2019,77,12,N,20.4,N,16.4,X,44.1,,,,,42,21,0,0,2018,Hot Creek,HCA6,HCA6,A6,9268,0,0.0%,0.0%,0.0%,
3/18/2019,43542,3,18,2019,77,12,N,20.4,N,16.4,X,44.1,,,,,42,21,0,0,2018,Ennis,ENA7,ENA7,A7,10598,1,0.0%,0.0%,0.0%,
3/18/2019,43542,3,18,2019,77,12,N,20.4,N,16.4,X,44.1,,,,,42,21,0,0,2018,Shasta,STA8,STA8,A8,8930,0,0.0%,0.0%,0.0%,
3/18/2019,43542,3,18,2019,77,12,N,20.4,N,16.4,X,44.1,,,,,42,21,0,0,2018,Hot Creek,HCB1,HCB1,B1,9343,0,0.0%,0.0%,0.0%,
3/18/2019,43542,3,18,2019,77,12,N,20.4,N,16.4,X,44.1,,,,,42,21,0,0,2018,Hot Creek,HCB2,HCB2,B2,9523,0,0.0%,0.0%,0.0%,
3/18/2019,43542,3,18,2019,77,12,N,20.4,N,16.4,X,44.1,,,,,42,21,0,0,2018,Hot Creek,HCB3,HCB3,B3,9169,0,0.0%,0.0%,0.0%,
3/18/2019,43542,3,18,2019,77,12,N,20.4,N,16.4,X,44.1,,,,,42,21,0,0,2018,Shasta,STB4,STB4,B4,10143,0,0.0%,0.0%,0.0%,
3/18/2019,43542,3,18,2019,77,12,N,20.4,N,16.4,X,44.1,,,,,42,21,0,0,2018,Hot Creek,HCB5,HCB5,B5,9429,0,0.0%,0.0%,0.0%,
